user,date,transaction_type,amount
b7fa4071-5883-4ac6-830e-4bb5a4cd7826,20-02-2020,DEBIT,22
b7fa4071-5883-4ac6-830e-4bb5a4cd7826,04-10-2020,DEBIT,73296
b7fa4071-5883-4ac6-830e-4bb5a4cd7826,12-02-2020,DEBIT,81655
b7fa4071-5883-4ac6-830e-4bb5a4cd7826,15-07-2020,CREDIT,24106
b7fa4071-5883-4ac6-830e-4bb5a4cd7826,06-11-2020,CREDIT,77527
b7fa4071-5883-4ac6-830e-4bb5a4cd7826,15-10-2020,CREDIT,72272
b7fa4071-5883-4ac6-830e-4bb5a4cd7826,16-05-2020,CREDIT,89498
b7fa4071-5883-4ac6-830e-4bb5a4cd7826,01-12-2020,CREDIT,25811
b7fa4071-5883-4ac6-830e-4bb5a4cd7826,08-09-2020,CREDIT,11740
b7fa4071-5883-4ac6-830e-4bb5a4cd7826,12-09-2020,DEBIT,44835
b7fa4071-5883-4ac6-830e-4bb5a4cd7826,08-09-2020,DEBIT,57544
b7fa4071-5883-4ac6-830e-4bb5a4cd7826,22-05-2020,DEBIT,8558
b7fa4071-5883-4ac6-830e-4bb5a4cd7826,09-10-2020,CREDIT,21818
b7fa4071-5883-4ac6-830e-4bb5a4cd7826,03-06-2020,DEBIT,27545
b7fa4071-5883-4ac6-830e-4bb5a4cd7826,14-05-2020,DEBIT,30120
b7fa4071-5883-4ac6-830e-4bb5a4cd7826,09-07-2020,CREDIT,93011
bb1b5797-6946-4a40-a0e6-3c02790ecf08,14-02-2020,CREDIT,81129
bb1b5797-6946-4a40-a0e6-3c02790ecf08,04-01-2020,CREDIT,36561
bb1b5797-6946-4a40-a0e6-3c02790ecf08,10-06-2020,DEBIT,97350
bb1b5797-6946-4a40-a0e6-3c02790ecf08,23-08-2020,CREDIT,60233
bb1b5797-6946-4a40-a0e6-3c02790ecf08,08-12-2020,DEBIT,36794
bb1b5797-6946-4a40-a0e6-3c02790ecf08,26-05-2020,DEBIT,57197
bb1b5797-6946-4a40-a0e6-3c02790ecf08,30-10-2020,DEBIT,92415
bb1b5797-6946-4a40-a0e6-3c02790ecf08,17-01-2020,DEBIT,37623
bb1b5797-6946-4a40-a0e6-3c02790ecf08,04-03-2020,CREDIT,76348
bb1b5797-6946-4a40-a0e6-3c02790ecf08,16-03-2020,DEBIT,26632
bb1b5797-6946-4a40-a0e6-3c02790ecf08,21-12-2020,DEBIT,83110
bb1b5797-6946-4a40-a0e6-3c02790ecf08,29-08-2020,DEBIT,65235
bb1b5797-6946-4a40-a0e6-3c02790ecf08,12-08-2020,DEBIT,68672
bb1b5797-6946-4a40-a0e6-3c02790ecf08,22-02-2020,DEBIT,73838
bb1b5797-6946-4a40-a0e6-3c02790ecf08,29-06-2020,CREDIT,13051
bb1b5797-6946-4a40-a0e6-3c02790ecf08,05-02-2020,DEBIT,49313
bb1b5797-6946-4a40-a0e6-3c02790ecf08,20-09-2020,DEBIT,50468
bb1b5797-6946-4a40-a0e6-3c02790ecf08,04-12-2020,DEBIT,36959
bb1b5797-6946-4a40-a0e6-3c02790ecf08,27-07-2020,CREDIT,53861
bb1b5797-6946-4a40-a0e6-3c02790ecf08,28-09-2020,CREDIT,22040
bb1b5797-6946-4a40-a0e6-3c02790ecf08,18-04-2020,DEBIT,43526
bb1b5797-6946-4a40-a0e6-3c02790ecf08,11-05-2020,CREDIT,49598
bb1b5797-6946-4a40-a0e6-3c02790ecf08,31-05-2020,CREDIT,70312
bb1b5797-6946-4a40-a0e6-3c02790ecf08,11-04-2020,DEBIT,74826
bb1b5797-6946-4a40-a0e6-3c02790ecf08,02-07-2020,CREDIT,63983
bb1b5797-6946-4a40-a0e6-3c02790ecf08,09-11-2020,CREDIT,84951
bb1b5797-6946-4a40-a0e6-3c02790ecf08,30-06-2020,DEBIT,38883
bfc8b33d-6e34-406b-8720-ba10ec874b64,19-11-2020,DEBIT,42071
bfc8b33d-6e34-406b-8720-ba10ec874b64,28-05-2020,CREDIT,66550
bfc8b33d-6e34-406b-8720-ba10ec874b64,15-09-2020,DEBIT,41101
bfc8b33d-6e34-406b-8720-ba10ec874b64,07-10-2020,CREDIT,99375
bfc8b33d-6e34-406b-8720-ba10ec874b64,30-08-2020,DEBIT,73004
8bac0a2d-f31a-4fc4-a5d2-2e86b379915b,02-08-2020,DEBIT,41063
8bac0a2d-f31a-4fc4-a5d2-2e86b379915b,17-05-2020,CREDIT,43746
8bac0a2d-f31a-4fc4-a5d2-2e86b379915b,31-08-2020,DEBIT,90146
8bac0a2d-f31a-4fc4-a5d2-2e86b379915b,28-07-2020,CREDIT,53750
8bac0a2d-f31a-4fc4-a5d2-2e86b379915b,11-06-2020,DEBIT,81312
8bac0a2d-f31a-4fc4-a5d2-2e86b379915b,28-03-2020,DEBIT,86295
8bac0a2d-f31a-4fc4-a5d2-2e86b379915b,13-06-2020,DEBIT,78542
8bac0a2d-f31a-4fc4-a5d2-2e86b379915b,23-04-2020,CREDIT,91204
8bac0a2d-f31a-4fc4-a5d2-2e86b379915b,16-08-2020,DEBIT,82804
8bac0a2d-f31a-4fc4-a5d2-2e86b379915b,02-10-2020,DEBIT,84740
8bac0a2d-f31a-4fc4-a5d2-2e86b379915b,18-01-2020,CREDIT,13543
8bac0a2d-f31a-4fc4-a5d2-2e86b379915b,02-08-2020,CREDIT,82871
8bac0a2d-f31a-4fc4-a5d2-2e86b379915b,21-08-2020,DEBIT,89024
8bac0a2d-f31a-4fc4-a5d2-2e86b379915b,31-05-2020,DEBIT,4795
8bac0a2d-f31a-4fc4-a5d2-2e86b379915b,24-03-2020,DEBIT,56865
8bac0a2d-f31a-4fc4-a5d2-2e86b379915b,03-09-2020,CREDIT,39459
8bac0a2d-f31a-4fc4-a5d2-2e86b379915b,10-04-2020,CREDIT,29975
8bac0a2d-f31a-4fc4-a5d2-2e86b379915b,30-01-2020,CREDIT,24764
8bac0a2d-f31a-4fc4-a5d2-2e86b379915b,05-03-2020,CREDIT,76037
8bac0a2d-f31a-4fc4-a5d2-2e86b379915b,04-08-2020,CREDIT,93119
8bac0a2d-f31a-4fc4-a5d2-2e86b379915b,14-07-2020,CREDIT,23483
8bac0a2d-f31a-4fc4-a5d2-2e86b379915b,01-11-2020,CREDIT,45531
8bac0a2d-f31a-4fc4-a5d2-2e86b379915b,28-04-2020,DEBIT,5711
8bac0a2d-f31a-4fc4-a5d2-2e86b379915b,03-01-2020,DEBIT,55788
8bac0a2d-f31a-4fc4-a5d2-2e86b379915b,02-02-2020,DEBIT,49184
58f0f395-35af-49fa-b107-e331d1cf0837,22-01-2020,CREDIT,64382
58f0f395-35af-49fa-b107-e331d1cf0837,14-02-2020,DEBIT,92773
58f0f395-35af-49fa-b107-e331d1cf0837,26-01-2020,DEBIT,90315
58f0f395-35af-49fa-b107-e331d1cf0837,02-02-2020,DEBIT,97461
58f0f395-35af-49fa-b107-e331d1cf0837,18-09-2020,CREDIT,26319
a8fa434d-9532-4675-9deb-d8538a4f0089,22-09-2020,DEBIT,10659
a8fa434d-9532-4675-9deb-d8538a4f0089,14-12-2020,CREDIT,77048
a8fa434d-9532-4675-9deb-d8538a4f0089,12-12-2020,DEBIT,33690
a8fa434d-9532-4675-9deb-d8538a4f0089,22-04-2020,DEBIT,87057
a8fa434d-9532-4675-9deb-d8538a4f0089,12-03-2020,CREDIT,13143
a8fa434d-9532-4675-9deb-d8538a4f0089,14-01-2020,CREDIT,5966
a8fa434d-9532-4675-9deb-d8538a4f0089,29-02-2020,DEBIT,65404
a8fa434d-9532-4675-9deb-d8538a4f0089,26-03-2020,DEBIT,96381
a8fa434d-9532-4675-9deb-d8538a4f0089,13-09-2020,CREDIT,95702
a8fa434d-9532-4675-9deb-d8538a4f0089,27-01-2020,CREDIT,70108
af2ffb0c-6837-47dd-88df-e7b9f8285fc9,29-06-2020,CREDIT,51122
af2ffb0c-6837-47dd-88df-e7b9f8285fc9,31-12-2020,CREDIT,80608
8e9d63cd-ce72-48e7-9082-67164ec83468,06-02-2020,DEBIT,40348
8e9d63cd-ce72-48e7-9082-67164ec83468,29-08-2020,DEBIT,24562
8e9d63cd-ce72-48e7-9082-67164ec83468,29-07-2020,CREDIT,87046
8e9d63cd-ce72-48e7-9082-67164ec83468,08-10-2020,DEBIT,34739
8e9d63cd-ce72-48e7-9082-67164ec83468,01-05-2020,DEBIT,20378
8e9d63cd-ce72-48e7-9082-67164ec83468,25-05-2020,DEBIT,14275
8e9d63cd-ce72-48e7-9082-67164ec83468,31-05-2020,DEBIT,92623
8e9d63cd-ce72-48e7-9082-67164ec83468,13-06-2020,CREDIT,74588
8e9d63cd-ce72-48e7-9082-67164ec83468,26-06-2020,DEBIT,31180
8e9d63cd-ce72-48e7-9082-67164ec83468,03-10-2020,CREDIT,47739
8e9d63cd-ce72-48e7-9082-67164ec83468,11-08-2020,CREDIT,58640
8e9d63cd-ce72-48e7-9082-67164ec83468,06-11-2020,DEBIT,21524
8e9d63cd-ce72-48e7-9082-67164ec83468,25-06-2020,DEBIT,71720
8e9d63cd-ce72-48e7-9082-67164ec83468,22-04-2020,CREDIT,65476
8e9d63cd-ce72-48e7-9082-67164ec83468,04-05-2020,CREDIT,77833
8e9d63cd-ce72-48e7-9082-67164ec83468,08-03-2020,DEBIT,47078
8e9d63cd-ce72-48e7-9082-67164ec83468,20-12-2020,CREDIT,86467
8e9d63cd-ce72-48e7-9082-67164ec83468,30-05-2020,DEBIT,44920
8e9d63cd-ce72-48e7-9082-67164ec83468,18-06-2020,DEBIT,52496
8e9d63cd-ce72-48e7-9082-67164ec83468,23-04-2020,CREDIT,59584
8e9d63cd-ce72-48e7-9082-67164ec83468,02-12-2020,CREDIT,83724
8e9d63cd-ce72-48e7-9082-67164ec83468,10-05-2020,DEBIT,94347
8e9d63cd-ce72-48e7-9082-67164ec83468,20-09-2020,CREDIT,13532
8e9d63cd-ce72-48e7-9082-67164ec83468,22-02-2020,DEBIT,49858
8e9d63cd-ce72-48e7-9082-67164ec83468,07-10-2020,DEBIT,75117
8e9d63cd-ce72-48e7-9082-67164ec83468,13-01-2020,CREDIT,29582
8e9d63cd-ce72-48e7-9082-67164ec83468,20-11-2020,CREDIT,40572
8e9d63cd-ce72-48e7-9082-67164ec83468,30-03-2020,CREDIT,31305
8e9d63cd-ce72-48e7-9082-67164ec83468,22-08-2020,DEBIT,19790
8e9d63cd-ce72-48e7-9082-67164ec83468,15-02-2020,DEBIT,65417
8e9d63cd-ce72-48e7-9082-67164ec83468,13-01-2020,CREDIT,36307
6ad27dc7-9859-4353-ba12-991bec841c81,08-09-2020,DEBIT,82443
6ad27dc7-9859-4353-ba12-991bec841c81,13-01-2020,DEBIT,74796
6ad27dc7-9859-4353-ba12-991bec841c81,15-10-2020,CREDIT,55239
6ad27dc7-9859-4353-ba12-991bec841c81,24-07-2020,CREDIT,9764
6ad27dc7-9859-4353-ba12-991bec841c81,23-05-2020,DEBIT,19345
6ad27dc7-9859-4353-ba12-991bec841c81,20-12-2020,CREDIT,49158
6ad27dc7-9859-4353-ba12-991bec841c81,09-09-2020,CREDIT,87827
6ad27dc7-9859-4353-ba12-991bec841c81,14-03-2020,CREDIT,37153
6ad27dc7-9859-4353-ba12-991bec841c81,20-09-2020,DEBIT,88464
6ad27dc7-9859-4353-ba12-991bec841c81,19-08-2020,CREDIT,26050
6ad27dc7-9859-4353-ba12-991bec841c81,24-02-2020,CREDIT,43861
6ad27dc7-9859-4353-ba12-991bec841c81,19-11-2020,DEBIT,31329
6ad27dc7-9859-4353-ba12-991bec841c81,02-01-2020,DEBIT,98288
6ad27dc7-9859-4353-ba12-991bec841c81,03-06-2020,DEBIT,8265
6ad27dc7-9859-4353-ba12-991bec841c81,28-01-2020,CREDIT,7071
6ad27dc7-9859-4353-ba12-991bec841c81,09-04-2020,DEBIT,41697
6ad27dc7-9859-4353-ba12-991bec841c81,31-05-2020,DEBIT,55603
6ad27dc7-9859-4353-ba12-991bec841c81,09-11-2020,DEBIT,54127
6ad27dc7-9859-4353-ba12-991bec841c81,19-04-2020,DEBIT,52820
6ad27dc7-9859-4353-ba12-991bec841c81,03-09-2020,CREDIT,73620
6ad27dc7-9859-4353-ba12-991bec841c81,08-06-2020,CREDIT,66209
6ad27dc7-9859-4353-ba12-991bec841c81,07-08-2020,CREDIT,58381
6ad27dc7-9859-4353-ba12-991bec841c81,19-03-2020,CREDIT,48216
6ad27dc7-9859-4353-ba12-991bec841c81,29-12-2020,DEBIT,22108
6ad27dc7-9859-4353-ba12-991bec841c81,13-04-2020,CREDIT,34198
6ad27dc7-9859-4353-ba12-991bec841c81,19-08-2020,DEBIT,33364
6ad27dc7-9859-4353-ba12-991bec841c81,21-12-2020,CREDIT,86784
6ad27dc7-9859-4353-ba12-991bec841c81,24-03-2020,DEBIT,93755
6ad27dc7-9859-4353-ba12-991bec841c81,30-06-2020,DEBIT,3198
6ad27dc7-9859-4353-ba12-991bec841c81,27-08-2020,DEBIT,82542
6ad27dc7-9859-4353-ba12-991bec841c81,10-10-2020,DEBIT,86116
6ad27dc7-9859-4353-ba12-991bec841c81,24-03-2020,CREDIT,26937
6ad27dc7-9859-4353-ba12-991bec841c81,23-04-2020,CREDIT,89800
6ad27dc7-9859-4353-ba12-991bec841c81,30-06-2020,CREDIT,27267
6ad27dc7-9859-4353-ba12-991bec841c81,23-03-2020,DEBIT,35173
6ad27dc7-9859-4353-ba12-991bec841c81,06-05-2020,CREDIT,52997
6ad27dc7-9859-4353-ba12-991bec841c81,08-10-2020,DEBIT,22142
6ad27dc7-9859-4353-ba12-991bec841c81,31-01-2020,DEBIT,58735
b0579184-1d64-443b-8a6d-beda8c9f3b47,17-02-2020,DEBIT,82777
b0579184-1d64-443b-8a6d-beda8c9f3b47,29-09-2020,CREDIT,54127
b0579184-1d64-443b-8a6d-beda8c9f3b47,05-01-2020,CREDIT,68852
b0579184-1d64-443b-8a6d-beda8c9f3b47,11-08-2020,DEBIT,358
b0579184-1d64-443b-8a6d-beda8c9f3b47,24-11-2020,DEBIT,57348
b0579184-1d64-443b-8a6d-beda8c9f3b47,11-04-2020,DEBIT,12712
b0579184-1d64-443b-8a6d-beda8c9f3b47,02-04-2020,DEBIT,26528
b0579184-1d64-443b-8a6d-beda8c9f3b47,13-07-2020,DEBIT,10800
b0579184-1d64-443b-8a6d-beda8c9f3b47,10-04-2020,CREDIT,39998
b0579184-1d64-443b-8a6d-beda8c9f3b47,26-02-2020,DEBIT,83416
b0579184-1d64-443b-8a6d-beda8c9f3b47,28-11-2020,CREDIT,57790
b0579184-1d64-443b-8a6d-beda8c9f3b47,11-10-2020,DEBIT,38277
b0579184-1d64-443b-8a6d-beda8c9f3b47,24-03-2020,CREDIT,56078
b0579184-1d64-443b-8a6d-beda8c9f3b47,25-10-2020,DEBIT,58926
b0579184-1d64-443b-8a6d-beda8c9f3b47,18-12-2020,CREDIT,96876
b0579184-1d64-443b-8a6d-beda8c9f3b47,23-09-2020,CREDIT,16210
b0579184-1d64-443b-8a6d-beda8c9f3b47,21-01-2020,CREDIT,91645
b0579184-1d64-443b-8a6d-beda8c9f3b47,17-03-2020,DEBIT,97961
b0579184-1d64-443b-8a6d-beda8c9f3b47,29-07-2020,CREDIT,95759
b0579184-1d64-443b-8a6d-beda8c9f3b47,15-07-2020,CREDIT,31431
b0579184-1d64-443b-8a6d-beda8c9f3b47,04-03-2020,DEBIT,74540
b0579184-1d64-443b-8a6d-beda8c9f3b47,09-10-2020,DEBIT,10843
b0579184-1d64-443b-8a6d-beda8c9f3b47,27-12-2020,DEBIT,86109
b0579184-1d64-443b-8a6d-beda8c9f3b47,14-07-2020,CREDIT,60748
b0579184-1d64-443b-8a6d-beda8c9f3b47,02-09-2020,CREDIT,76444
b0579184-1d64-443b-8a6d-beda8c9f3b47,25-05-2020,CREDIT,65776
b0579184-1d64-443b-8a6d-beda8c9f3b47,18-06-2020,DEBIT,67316
b0579184-1d64-443b-8a6d-beda8c9f3b47,16-01-2020,DEBIT,62736
b0579184-1d64-443b-8a6d-beda8c9f3b47,23-01-2020,DEBIT,44512
b0579184-1d64-443b-8a6d-beda8c9f3b47,29-12-2020,CREDIT,62258
b0579184-1d64-443b-8a6d-beda8c9f3b47,07-06-2020,DEBIT,61458
b0579184-1d64-443b-8a6d-beda8c9f3b47,09-07-2020,CREDIT,95752
b0579184-1d64-443b-8a6d-beda8c9f3b47,09-01-2020,CREDIT,79022
b0579184-1d64-443b-8a6d-beda8c9f3b47,21-12-2020,DEBIT,83455
b0579184-1d64-443b-8a6d-beda8c9f3b47,23-07-2020,CREDIT,6574
b0579184-1d64-443b-8a6d-beda8c9f3b47,02-06-2020,DEBIT,88765
b0579184-1d64-443b-8a6d-beda8c9f3b47,30-07-2020,CREDIT,19547
b0579184-1d64-443b-8a6d-beda8c9f3b47,15-09-2020,DEBIT,78217
b0579184-1d64-443b-8a6d-beda8c9f3b47,19-10-2020,CREDIT,61995
b0579184-1d64-443b-8a6d-beda8c9f3b47,25-06-2020,CREDIT,31035
b0579184-1d64-443b-8a6d-beda8c9f3b47,23-11-2020,DEBIT,3336
b0579184-1d64-443b-8a6d-beda8c9f3b47,17-05-2020,CREDIT,3641
b0579184-1d64-443b-8a6d-beda8c9f3b47,06-07-2020,CREDIT,49984
b0579184-1d64-443b-8a6d-beda8c9f3b47,28-06-2020,DEBIT,29802
32045698-2650-4b46-98b7-c48afd73a975,10-10-2020,CREDIT,1118
32045698-2650-4b46-98b7-c48afd73a975,11-05-2020,CREDIT,93571
32045698-2650-4b46-98b7-c48afd73a975,11-05-2020,DEBIT,98453
32045698-2650-4b46-98b7-c48afd73a975,07-02-2020,DEBIT,12305
32045698-2650-4b46-98b7-c48afd73a975,08-07-2020,DEBIT,74675
32045698-2650-4b46-98b7-c48afd73a975,30-09-2020,DEBIT,30510
32045698-2650-4b46-98b7-c48afd73a975,12-12-2020,CREDIT,82108
32045698-2650-4b46-98b7-c48afd73a975,20-11-2020,DEBIT,30240
32045698-2650-4b46-98b7-c48afd73a975,26-01-2020,DEBIT,76532
32045698-2650-4b46-98b7-c48afd73a975,29-03-2020,CREDIT,39677
32045698-2650-4b46-98b7-c48afd73a975,13-07-2020,DEBIT,49427
32045698-2650-4b46-98b7-c48afd73a975,12-02-2020,DEBIT,59204
32045698-2650-4b46-98b7-c48afd73a975,18-04-2020,DEBIT,72012
32045698-2650-4b46-98b7-c48afd73a975,26-05-2020,CREDIT,57878
32045698-2650-4b46-98b7-c48afd73a975,20-06-2020,CREDIT,79399
32045698-2650-4b46-98b7-c48afd73a975,24-10-2020,CREDIT,47592
32045698-2650-4b46-98b7-c48afd73a975,03-12-2020,DEBIT,40681
32045698-2650-4b46-98b7-c48afd73a975,08-02-2020,CREDIT,94857
32045698-2650-4b46-98b7-c48afd73a975,05-06-2020,CREDIT,69863
32045698-2650-4b46-98b7-c48afd73a975,03-09-2020,CREDIT,65018
32045698-2650-4b46-98b7-c48afd73a975,01-10-2020,DEBIT,70449
32045698-2650-4b46-98b7-c48afd73a975,08-01-2020,DEBIT,97109
32045698-2650-4b46-98b7-c48afd73a975,14-04-2020,DEBIT,4723
32045698-2650-4b46-98b7-c48afd73a975,29-05-2020,CREDIT,73246
32045698-2650-4b46-98b7-c48afd73a975,07-07-2020,CREDIT,41364
32045698-2650-4b46-98b7-c48afd73a975,26-08-2020,CREDIT,94278
32045698-2650-4b46-98b7-c48afd73a975,22-12-2020,CREDIT,74592
32045698-2650-4b46-98b7-c48afd73a975,30-04-2020,CREDIT,14411
32045698-2650-4b46-98b7-c48afd73a975,08-10-2020,DEBIT,91063
32045698-2650-4b46-98b7-c48afd73a975,24-07-2020,DEBIT,26363
32045698-2650-4b46-98b7-c48afd73a975,06-06-2020,CREDIT,93506
32045698-2650-4b46-98b7-c48afd73a975,30-08-2020,DEBIT,79761
32045698-2650-4b46-98b7-c48afd73a975,15-02-2020,DEBIT,57638
32045698-2650-4b46-98b7-c48afd73a975,01-09-2020,DEBIT,28334
32045698-2650-4b46-98b7-c48afd73a975,14-06-2020,DEBIT,30913
32045698-2650-4b46-98b7-c48afd73a975,28-02-2020,CREDIT,14560
32045698-2650-4b46-98b7-c48afd73a975,12-11-2020,DEBIT,29908
32045698-2650-4b46-98b7-c48afd73a975,09-08-2020,CREDIT,52531
32045698-2650-4b46-98b7-c48afd73a975,28-11-2020,DEBIT,93289
32045698-2650-4b46-98b7-c48afd73a975,24-06-2020,DEBIT,90971
9ba55c4f-1b54-4bf3-b10a-1c4352355edf,07-11-2020,CREDIT,84800
9ba55c4f-1b54-4bf3-b10a-1c4352355edf,09-01-2020,DEBIT,28366
9ba55c4f-1b54-4bf3-b10a-1c4352355edf,14-10-2020,CREDIT,81023
9ba55c4f-1b54-4bf3-b10a-1c4352355edf,24-06-2020,DEBIT,98777
9ba55c4f-1b54-4bf3-b10a-1c4352355edf,29-11-2020,DEBIT,8157
9ba55c4f-1b54-4bf3-b10a-1c4352355edf,27-04-2020,CREDIT,30126
9ba55c4f-1b54-4bf3-b10a-1c4352355edf,29-03-2020,DEBIT,75158
9ba55c4f-1b54-4bf3-b10a-1c4352355edf,15-05-2020,DEBIT,79042
9ba55c4f-1b54-4bf3-b10a-1c4352355edf,31-07-2020,DEBIT,68746
9ba55c4f-1b54-4bf3-b10a-1c4352355edf,25-06-2020,CREDIT,86767
9ba55c4f-1b54-4bf3-b10a-1c4352355edf,07-11-2020,CREDIT,78002
9ba55c4f-1b54-4bf3-b10a-1c4352355edf,14-12-2020,CREDIT,54772
9ba55c4f-1b54-4bf3-b10a-1c4352355edf,30-09-2020,CREDIT,6751
9ba55c4f-1b54-4bf3-b10a-1c4352355edf,19-07-2020,DEBIT,78161
9ba55c4f-1b54-4bf3-b10a-1c4352355edf,15-03-2020,CREDIT,56187
9ba55c4f-1b54-4bf3-b10a-1c4352355edf,01-07-2020,DEBIT,31627
9ba55c4f-1b54-4bf3-b10a-1c4352355edf,05-07-2020,DEBIT,51792
9ba55c4f-1b54-4bf3-b10a-1c4352355edf,09-07-2020,CREDIT,82862
9ba55c4f-1b54-4bf3-b10a-1c4352355edf,17-04-2020,CREDIT,23746
9ba55c4f-1b54-4bf3-b10a-1c4352355edf,23-01-2020,CREDIT,70275
9ba55c4f-1b54-4bf3-b10a-1c4352355edf,14-08-2020,DEBIT,9534
9ba55c4f-1b54-4bf3-b10a-1c4352355edf,15-01-2020,CREDIT,31801
9ba55c4f-1b54-4bf3-b10a-1c4352355edf,20-04-2020,DEBIT,74595
9ba55c4f-1b54-4bf3-b10a-1c4352355edf,01-04-2020,CREDIT,72038
9ba55c4f-1b54-4bf3-b10a-1c4352355edf,01-09-2020,CREDIT,21629
9ba55c4f-1b54-4bf3-b10a-1c4352355edf,25-12-2020,DEBIT,36586
58fa35a1-0d46-4423-b260-bd0d621ea805,02-03-2020,CREDIT,26696
58fa35a1-0d46-4423-b260-bd0d621ea805,29-12-2020,DEBIT,94549
58fa35a1-0d46-4423-b260-bd0d621ea805,02-12-2020,CREDIT,51241
babd8ca0-8163-463c-b981-57e45d9de6fc,29-09-2020,DEBIT,84757
babd8ca0-8163-463c-b981-57e45d9de6fc,19-05-2020,CREDIT,27504
babd8ca0-8163-463c-b981-57e45d9de6fc,18-01-2020,DEBIT,15685
babd8ca0-8163-463c-b981-57e45d9de6fc,15-02-2020,DEBIT,22327
babd8ca0-8163-463c-b981-57e45d9de6fc,17-05-2020,CREDIT,52891
babd8ca0-8163-463c-b981-57e45d9de6fc,03-02-2020,DEBIT,10998
